ativo,preco,moeda,horario_coleta
87678.995,BTC,USD,2026-01-26 15:10:10.206548
5098.2001953125,GC=F,USD,2026-01-26 15:10:10.678519
60.959999084472656,CL=F,USD,2026-01-26 15:10:10.870291
117.1500015258789,SI=F,USD,2026-01-26 15:10:11.047539
